	0
grossly	1
ground	23
grounding	1
group	17
groups	4
grown	2
grueling	1
grumman	2
guadalcanal	149
guadalcanal’s	6
guam	2
guard	7
guarded	2
guest	1
guided	1
guides	1
guinea	5
gulf	1
gullies	1
gun	29
gun-making	1
gunfire	12
gunichi	1
gunner	2
guns	24
guys	1
h	11
hachikyu	1
hacked	1
had	219
hadn’t	2
hagen	1
haiti	2
half	4
half-a-million	1
half-dozen	1
half-full	1
halftrack	2
halftracks	1
hall	3
halls	1
hall’s	1
halsey	6
halsey’s	5
halt	1
halted	1
halting	2
hammer	1
hammering	1
hampered	1
hand	5
hand-to-hand	2
handed	2
handful	1
handheld	1
handier	1
handle	1
handling	1
hangfires	1
hanneken’s	3
happened	1
happens	1
happily	1
happy	2
harassed	2
harassing	1
harassment	2
harbor	9
hard	1
harold	3
harried	1
harrington	1
haruna	1
haruyoshi	1
has	12
hasn’t	1
hastily	3
hasty	1
hauled	1
have	26
having	6
hawaii	2
hawley	1
he	138
head	1
head-on	1
headed	10
heading	1
headman	1
headquartered	1
headquarters	22
heads	1
hear	1
heard	2
hearings	1
heart	4
heartily	1
heaviest	1
heavily	4
heavy	30
hebrides	4
hefty	1
heightened	1
held	16
helena	1
hell	1
hellish	1
helmet	2
helmets	1
help	2
helped	1
helpful	1
helplessly	1
henderson	23
henderson’s	3
henry	9
her	3
heralded	2
herbert	2
here	4
herman	1
hero	1
heroic	5
heroically	1
heroics	1
heroism	3
herringbone	2
hidden	1
hiding	1
hiei	3
higgins	2
high	5
high-angle-of-fire	1
high-flying	1
high-risk	1
high-school	1
highest	1
highly	3
hill	5
hills	6
hillside	1
him	16
himself	8
his	170
historian	4
historic	1
historical	8
histories	2
history	14
hit	15
hitoshi	1
hits	1
hitting	4
hmas	1
holcomb	11
holcomb’s	1
hold	12
holding	5
holdings	1
hole	1
holed	1
holes	2
holland	1
hollow-eyed	1
home	2
homefront	1
hometown	1
honor	15
honorary	2
honored	1
honors	1
hook	1
hope	4
hoped	1
hoped-for	1
hopefully	1
hopelessness	1
hopes	1
horace	1
horizon	1
hornet	4
hornet’s	1
horrific	1
hospital	5
host	1
