	0
biscuit	7
biscuits	3
bishop	5
bison	3
bisons	1
bit	25
bite	5
bites	2
bitin	1
biting	4
bitingly	1
bits	8
bitter	8
bitterer	1
bitterest	4
bitterly	3
bitterness	1
bitters	1
bivouacks	1
black	86
black's	1
black-bordered	1
black-letter	1
blackberrying	1
blackened	1
blackest	1
blackish	1
blackling	1
blackness	11
blacks	2
blacksmith	18
blacksmith's	3
blacksmiths	3
blackstone	3
bladder	1
bladders	1
blade	8
blades	6
blame	2
blame-worthy	1
blanc	1
blanche	1
blanched	1
blanco	1
bland	2
blandishments	2
blandness	1
blang-whang	1
blank	8
blanket	8
blanket-piece	2
blanket-pieces	2
blanketing	1
blankets	2
blankness	2
blanks	1
blasphemer	1
blasphemer's	1
blasphemous	1
blasphemy	2
blast	14
blasted	8
blasting	1
blasts	1
blaze	2
blazed	1
blazes	1
blazing	6
bleached	3
bleaching	1
bleak	3
bleakness	1
bled	2
bleed	1
bleeding	3
bleeds	2
blemish	2
blend	4
blended	5
blending	5
blent	2
bless	8
blessed	11
blessing	1
blew	8
blight	1
blighted	1
blind	15
blinded	2
blindest	1
blindfold	1
blinding	6
blindly	7
blinds	10
bliss	3
blister	1
blistered	2
blisteringly	1
blisters	1
blithe	1
bloated	1
block	10
block-ice	1
blockhead	1
blocks	6
blocksburg	1
blood	53
blood--bring	1
blood-dripping	2
blood-muddled	1
blood-shot	2
blood-vessel	1
blood-vessels	2
blooded	1
bloodiest	1
bloodshed	1
bloodshot	2
bloodthirsty	2
bloody	8
bloody-minded	1
bloom	4
blossom	1
blossoms	1
blotted	1
blotting	1
blow	25
blowing	6
blown	4
blown-off	1
blows	19
blows!--right	1
blows!--she	1
blows!--the	1
blows!--there	2
blows--she	1
blubber	26
blubber-boilers	1
blubber-hook	2
blubber-hunters	1
blubber-room	4
blubbering	1
blue	43
blue--the	1
blue-veined	1
blueness	1
bluer	1
bluff	1
bluff-bowed	2
bluff-chested	1
bluish	2
blunder	1
blunder-born	1
blundering	2
blunted	1
bluntly	1
blurred	2
blush	1
blusterer	1
bo-o-os	1
boa	1
board	63
board!--lower	1
boarded	6
boarders	4
boarding	2
boarding-sword	1
boarding-weapon	1
boardingsword	1
boards	1
boast	2
boasted	3
boastful	1
boasting	1
boasts	1
boat	246
boat!--ah	1
boat's	37
boat--"canst	1
boat--a	1
boat--mr	1
boat--the	1
boat-hatchet	1
boat-header	2
boat-hook	2
boat-knife	4
boat-sails	1
boat-spade	1
boat-spades	1
boat-steerer	1
boatheader	1
boatmen	1
boats	142
boats!--stand	1
boats--ere	1
boats:--mark	1
boatswain	1
bob	1
bobbed	1
bobbing	1
bodices	1
bodies	9
