	0
tartar	25
tartaric	4
taste	3
tasted	2
tasty	1
taught	3
teach	3
teacher	2
teaching	1
teaspoon	78
tell	4
tempting	1
ten	1
tender	1
test	1
than	8
thank	1
thanks	1
that	113
the	1185
their	7
them	88
then	171
there	9
therefore	2
thereto	1
these	50
they	56
thick	51
thick--of	1
thicken	1
thickened	1
thickness	5
thin	1
thing	4
things	3
think	5
thinking	2
thinly	2
third	1
thirds	1
this	69
thoroughly	8
those	7
though	1
thought	9
thread	7
threads	1
three	5
through	18
throughout	1
throwing	2
thrown	2
thumb	9
thus	1
tidy	2
tied	1
tiger	1
till	25
time	46
tin	9
tins	1
tiny	2
tip	4
tire	1
to	341
to-day	1
to-morrow	1
together	14
told	18
too	22
took	19
tooth	2
toothsome	1
top	11
towel	5
transcriber's	1
tree	4
tried	31
trouble	1
true	2
truly	3
try	1
trying	1
turn	1
turned	4
turning	1
twelve	1
twenty	1
twenty-four	6
twice	1
twinkle	1
two	27
u	1
uncle	1
uncooked	5
under	3
understand	1
understood	1
undertook	1
unexpectedly	1
united	3
unkind	1
unless	1
unnecessary	1
unpleasant	1
unsafe	1
unsweetened	3
until	136
unusual	1
up	12
upon	7
ups	1
us	1
use	19
used	22
useful	1
using	5
usual	8
usually	4
utensils	1
v	2
valentine	2
valentine's	1
vanilla	115
varied	1
variety	2
vary	1
vassar	2
vermont	1
very	60
vi	2
vii	3
viii	2
vinegar	24
violet	1
visited	1
vivacious	1
volume	1
vote	1
voted	1
wail	1
wait	2
waited	1
walnut	53
walnuts	11
want	2
wanted	7
war	1
warm	5
warmer	1
was	273
wash	5
washed	1
washington's	1
waste	1
watch	3
water	244
waterman	2
watermelon	1
watery	1
wax	5
waxed	25
way	8
ways	6
we	2
weather	6
week	2
weeks	2
weighing	3
weight	4
welcomed	1
well	36
well-buttered	1
well-greased	3
went	4
were	92
weren't	1
what	13
when	151
whenever	2
where	3
which	30
whichever	1
while	35
white	21
whites	4
who	6
whole	4
wholesome	2
whom	1
whose	1
why	7
wide	1
wider	1
will	16
window	1
winter	4
winter's	1
wintergreen	1
wiped	6
wiping	1
wire	2
wish	3
wished	1
wistful	1
wistfully	1
with	163
without	10
won't	1
wonder	1
wonderful	6
wooden	1
work	9
worked	4
worth	2
would	31
wouldn't	1
wrap	2
wrapped	11
wrapping	1
write	1
written	3
wrote	4
yard	1
years	2
yellow	2
yes	1
yet	1
you	25
young	2
your	7
yourself	1
zoo	1
